MonthYear,Type,Value
2013-07,Arrivals,1.51
2013-08,Arrivals,1.3
2013-09,Arrivals,1.33
2013-10,Arrivals,1.53
2013-11,Arrivals,1.28
2013-12,Arrivals,1.42
2014-01,Arrivals,1.74
2014-02,Arrivals,1.34
2014-03,Arrivals,1.28
2014-04,Arrivals,1.33
2014-05,Arrivals,1.19
2014-06,Arrivals,1.18
2014-07,Arrivals,1.59
2014-08,Arrivals,1.36
2014-09,Arrivals,1.38
2014-10,Arrivals,1.57
2014-11,Arrivals,1.34
2014-12,Arrivals,1.46
2015-01,Arrivals,1.78
2015-02,Arrivals,1.42
2015-03,Arrivals,1.39
2015-04,Arrivals,1.37
2015-05,Arrivals,1.22
2015-06,Arrivals,1.23
2015-07,Arrivals,1.65
2015-08,Arrivals,1.42
2015-09,Arrivals,1.46
2015-10,Arrivals,1.65
2015-11,Arrivals,1.42
2015-12,Arrivals,1.58
2016-01,Arrivals,1.91
2016-02,Arrivals,1.56
2016-03,Arrivals,1.48
2016-04,Arrivals,1.47
2016-05,Arrivals,1.3
2016-06,Arrivals,1.33
2016-07,Arrivals,1.83
2016-08,Arrivals,1.51
2016-09,Arrivals,1.59
2016-10,Arrivals,1.78
2016-11,Arrivals,1.51
2016-12,Arrivals,1.72
2017-01,Arrivals,2.07
2017-02,Arrivals,1.63
2017-03,Arrivals,1.52
2017-04,Arrivals,1.65
2017-05,Arrivals,1.4
2017-06,Arrivals,1.42
2017-07,Arrivals,1.91
2017-08,Arrivals,1.62
2017-09,Arrivals,1.67
2017-10,Arrivals,1.88
2017-11,Arrivals,1.6
2017-12,Arrivals,1.76
2018-01,Arrivals,2.13
2018-02,Arrivals,1.73
2018-03,Arrivals,1.68
2018-04,Arrivals,1.67
2018-05,Arrivals,1.48
2018-06,Arrivals,1.51
2018-07,Arrivals,2.01
2018-08,Arrivals,1.72
2018-09,Arrivals,1.72
2018-10,Arrivals,1.96
2018-11,Arrivals,1.67
2018-12,Arrivals,1.85
2019-01,Arrivals,2.22
2019-02,Arrivals,1.79
2019-03,Arrivals,1.66
2019-04,Arrivals,1.67
2019-05,Arrivals,1.59
2019-06,Arrivals,1.56
2019-07,Arrivals,2.01
2019-08,Arrivals,1.78
2019-09,Arrivals,1.75
2019-10,Arrivals,1.98
2019-11,Arrivals,1.72
2019-12,Arrivals,1.89
2020-01,Arrivals,2.26
2020-02,Arrivals,1.57
2020-03,Arrivals,0.92
2020-04,Arrivals,0.02
2020-05,Arrivals,0.02
2020-06,Arrivals,0.03
2020-07,Arrivals,0.02
2020-08,Arrivals,0.01
2020-09,Arrivals,0.02
2020-10,Arrivals,0.02
2020-11,Arrivals,0.03
2020-12,Arrivals,0.03
2021-01,Arrivals,0.03
2021-02,Arrivals,0.03
2021-03,Arrivals,0.03
2021-04,Arrivals,0.05
2021-05,Arrivals,0.11
2021-06,Arrivals,0.1
2021-07,Arrivals,0.07
2021-08,Arrivals,0.03
2021-09,Arrivals,0.02
2021-10,Arrivals,0.02
2021-11,Arrivals,0.07
2021-12,Arrivals,0.2
2022-01,Arrivals,0.27
2022-02,Arrivals,0.27
2022-03,Arrivals,0.37
2022-04,Arrivals,0.57
2022-05,Arrivals,0.65
2022-06,Arrivals,0.73
2022-07,Arrivals,1.08
2022-08,Arrivals,1.03
2022-09,Arrivals,1.07
2022-10,Arrivals,1.21
2022-11,Arrivals,1.19
2022-12,Arrivals,1.26
2023-01,Arrivals,1.61
2023-02,Arrivals,1.38
2023-03,Arrivals,1.34
2023-04,Arrivals,1.37
2023-05,Arrivals,1.3
2023-06,Arrivals,1.36
2023-07,Arrivals,1.74
2023-08,Arrivals,1.55
2013-07,Departures,1.3
2013-08,Departures,1.34
2013-09,Departures,1.38
2013-10,Departures,1.23
2013-11,Departures,1.3
2013-12,Departures,1.68
2014-01,Departures,1.47
2014-02,Departures,1.18
2014-03,Departures,1.3
2014-04,Departures,1.41
2014-05,Departures,1.27
2014-06,Departures,1.42
2014-07,Departures,1.34
2014-08,Departures,1.43
2014-09,Departures,1.41
2014-10,Departures,1.3
2014-11,Departures,1.36
2014-12,Departures,1.71
2015-01,Departures,1.49
2015-02,Departures,1.24
2015-03,Departures,1.45
2015-04,Departures,1.41
2015-05,Departures,1.31
2015-06,Departures,1.46
2015-07,Departures,1.43
2015-08,Departures,1.45
2015-09,Departures,1.48
2015-10,Departures,1.4
2015-11,Departures,1.44
2015-12,Departures,1.85
2016-01,Departures,1.64
2016-02,Departures,1.37
2016-03,Departures,1.54
2016-04,Departures,1.49
2016-05,Departures,1.39
2016-06,Departures,1.58
2016-07,Departures,1.57
2016-08,Departures,1.55
2016-09,Departures,1.6
2016-10,Departures,1.5
2016-11,Departures,1.54
2016-12,Departures,1.99
2017-01,Departures,1.78
2017-02,Departures,1.39
2017-03,Departures,1.58
2017-04,Departures,1.71
2017-05,Departures,1.49
2017-06,Departures,1.67
2017-07,Departures,1.65
2017-08,Departures,1.66
2017-09,Departures,1.7
2017-10,Departures,1.57
2017-11,Departures,1.64
2017-12,Departures,2.08
2018-01,Departures,1.81
2018-02,Departures,1.52
2018-03,Departures,1.74
2018-04,Departures,1.71
2018-05,Departures,1.56
2018-06,Departures,1.79
2018-07,Departures,1.73
2018-08,Departures,1.77
2018-09,Departures,1.76
2018-10,Departures,1.64
2018-11,Departures,1.72
2018-12,Departures,2.18
2019-01,Departures,1.91
2019-02,Departures,1.52
2019-03,Departures,1.68
2019-04,Departures,1.83
2019-05,Departures,1.63
2019-06,Departures,1.8
2019-07,Departures,1.76
2019-08,Departures,1.81
2019-09,Departures,1.8
2019-10,Departures,1.68
2019-11,Departures,1.74
2019-12,Departures,2.24
2020-01,Departures,1.97
2020-02,Departures,1.29
2020-03,Departures,0.83
2020-04,Departures,0.06
2020-05,Departures,0.03
2020-06,Departures,0.04
2020-07,Departures,0.06
2020-08,Departures,0.06
2020-09,Departures,0.05
2020-10,Departures,0.05
2020-11,Departures,0.04
2020-12,Departures,0.05
2021-01,Departures,0.04
2021-02,Departures,0.03
2021-03,Departures,0.03
2021-04,Departures,0.06
2021-05,Departures,0.11
2021-06,Departures,0.1
2021-07,Departures,0.09
2021-08,Departures,0.04
2021-09,Departures,0.03
2021-10,Departures,0.04
2021-11,Departures,0.09
2021-12,Departures,0.23
2022-01,Departures,0.19
2022-02,Departures,0.18
2022-03,Departures,0.34
2022-04,Departures,0.61
2022-05,Departures,0.66
2022-06,Departures,0.88
2022-07,Departures,0.97
2022-08,Departures,0.94
2022-09,Departures,1.04
2022-10,Departures,1.01
2022-11,Departures,1.18
2022-12,Departures,1.52
2023-01,Departures,1.38
2023-02,Departures,1.07
2023-03,Departures,1.32
2023-04,Departures,1.43
2023-05,Departures,1.36
2023-06,Departures,1.56
2023-07,Departures,1.49
2023-08,Departures,1.52
